-8	-2	22
-8	-2.5	27
-8	-3	22
-8	-4	15
-8	-3.5	16
-8	-4.5	11
-8	-5.5	9
-8	-5	9
-8	-6.5	7
-8	-7	7
-8	-6	8
-8	-8	7
-8	-7.5	8
-8	-8.5	6
-8	-9	6
-8	-9.5	5
-8	-10	5

-7.5	-2	26
-7.5	-2.5	24
-7.5	-3	18
-7.5	-3.5	17
-7.5	-4	16
-7.5	-4.5	12
-7.5	-5	11
-7.5	-5.5	9
-7.5	-6	7
-7.5	-6.5	7
-7.5	-7	8
-7.5	-7.5	6
-7.5	-8	5
-7.5	-8.5	7
-7.5	-9	5
-7.5	-9.5	7
-7.5	-10	5

-7	-2	42
-7	-2.5	29
-7	-3	26
-7	-3.5	13
-7	-4	12
-7	-4.5	12
-7	-5	11
-7	-5.5	9
-7	-6	7
-7	-6.5	10
-7	-8	5
-7	-7	6
-7	-8.5	5
-7	-7.5	6
-7	-9.5	5
-7	-9	5
-7	-10	7

-6.5	-2	29
-6.5	-2.5	21
-6.5	-3	24
-6.5	-3.5	15
-6.5	-4	13
-6.5	-4.5	13
-6.5	-5	8
-6.5	-5.5	9
-6.5	-6	7
-6.5	-6.5	7
-6.5	-7	5
-6.5	-7.5	4
-6.5	-8	5
-6.5	-8.5	6
-6.5	-9	6
-6.5	-9.5	4
-6.5	-10	4

-6	-2	38
-6	-2.5	25
-6	-3	25
-6	-3.5	15
-6	-4	13
-6	-4.5	10
-6	-5	9
-6	-5.5	9
-6	-6	9
-6	-7	6
-6	-6.5	7
-6	-7.5	4
-6	-8	4
-6	-9	4
-6	-8.5	4
-6	-10	5
-6	-9.5	5

-5.5	-2.5	24
-5.5	-3.5	13
-5.5	-2	36
-5.5	-3	19
-5.5	-4	10
-5.5	-4.5	11
-5.5	-5	8
-5.5	-5.5	6
-5.5	-6	9
-5.5	-6.5	5
-5.5	-7	6
-5.5	-7.5	8
-5.5	-9	3
-5.5	-8	4
-5.5	-9.5	3
-5.5	-8.5	6
-5.5	-10	4

-5	-2.5	23
-5	-4	13
-5	-3.5	16
-5	-3	21
-5	-2	38
-5	-4.5	13
-5	-5	9
-5	-5.5	8
-5	-6.5	6
-5	-6	5
-5	-7	4
-5	-7.5	5
-5	-8	5
-5	-9	6
-5	-9.5	3
-5	-8.5	4
-5	-10	3

-4.5	-3	22
-4.5	-2.5	27
-4.5	-3.5	19
-4.5	-4	13
-4.5	-4.5	10
-4.5	-2	27
-4.5	-5	5
-4.5	-5.5	5
-4.5	-6	5
-4.5	-6.5	4
-4.5	-7	4
-4.5	-7.5	3
-4.5	-8	3
-4.5	-8.5	3
-4.5	-9	5
-4.5	-9.5	4
-4.5	-10	3

-4	-3.5	26
-4	-3	23
-4	-4	8
-4	-4.5	8
-4	-2.5	18
-4	-2	3
-4	-5	7
-4	-5.5	7
-4	-6	6
-4	-6.5	3
-4	-7	3
-4	-8	3
-4	-7.5	3
-4	-8.5	4
-4	-9	3
-4	-10	3
-4	-9.5	3

-3.5	-3	24
-3.5	-3.5	11
-3.5	-4	5
-3.5	-4.5	8
-3.5	-2	3
-3.5	-5	3
-3.5	-5.5	4
-3.5	-2.5	4
-3.5	-6	4
-3.5	-6.5	3
-3.5	-7	2
-3.5	-8	3
-3.5	-7.5	3
-3.5	-8.5	3
-3.5	-9	2
-3.5	-9.5	3
-3.5	-10	3

-3	-3	12
-3	-3.5	3
-3	-4.5	2
-3	-4	5
-3	-5	3
-3	-5.5	3
-3	-2	2
-3	-2.5	3
-3	-6	3
-3	-6.5	2
-3	-7	2
-3	-8	2
-3	-7.5	2
-3	-9	3
-3	-9.5	2
-3	-8.5	3
-3	-10	4

-2.5	-3.5	1
-2.5	-3	2
-2.5	-4.5	2
-2.5	-4	2
-2.5	-5	2
-2.5	-6	2
-2.5	-2	2
-2.5	-5.5	3
-2.5	-2.5	2
-2.5	-6.5	2
-2.5	-7	3
-2.5	-8.5	2
-2.5	-8	2
-2.5	-7.5	2
-2.5	-10	3
-2.5	-9.5	3
-2.5	-9	2

-2	-3.5	1
-2	-3	2
-2	-4	3
-2	-4.5	1
-2	-5	3
-2	-5.5	3
-2	-6.5	2
-2	-6	2
-2	-2	2
-2	-2.5	2
-2	-7	1
-2	-7.5	2
-2	-8	2
-2	-9	3
-2	-9.5	2
-2	-8.5	2
-2	-10	1

-1.5	-4	1
-1.5	-3	3
-1.5	-3.5	1
-1.5	-4.5	2
-1.5	-5	1
-1.5	-5.5	1
-1.5	-6	1
-1.5	-2.5	2
-1.5	-2	2
-1.5	-7	1
-1.5	-6.5	1
-1.5	-7.5	1
-1.5	-8	2
-1.5	-9	1
-1.5	-8.5	4
-1.5	-9.5	2
-1.5	-10	2

-1	-3.5	1
-1	-4	1
-1	-3	1
-1	-4.5	1
-1	-5	1
-1	-5.5	1
-1	-6	1
-1	-2	2
-1	-2.5	2
-1	-7	2
-1	-6.5	2
-1	-7.5	1
-1	-8	1
-1	-8.5	1
-1	-9	2
-1	-9.5	2
-1	-10	2

-0.5	-3.5	1
-0.5	-4.5	1
-0.5	-3	1
-0.5	-4	1
-0.5	-5	1
-0.5	-5.5	1
-0.5	-6.5	1
-0.5	-6	1
-0.5	-7	1
-0.5	-2	2
-0.5	-2.5	2
-0.5	-8	2
-0.5	-8.5	2
-0.5	-7.5	1
-0.5	-9	2
-0.5	-9.5	2
-0.5	-10	1

0	-3.5	1
0	-4.5	1
0	-4	1
0	-5.5	1
0	-5	1
0	-7	1
0	-6	1
0	-6.5	2
0	-7.5	1
0	-3	1
0	-8.5	2
0	-9	2
0	-8	2
0	-2	1
0	-2.5	1
0	-9.5	1
0	-10	1
